filename,label,ground_truth,predicted_text,cer,wer,lev,acc
001_heo-cao-boi_F_crop_4.jpg,weight,200 g,200 g,0.0,0.0,0,1
001_heo-cao-boi_F_crop_5.jpg,weight,100 g,100 g,0.0,0.0,0,1
002_mi-ly-modern_F_crop_1.jpg,name,MÌ LY MODERN,MÌ LY MODERN,0.0,0.0,0,1
003_banh-crepe-sua-tuoi_B_crop_0.jpg,brand,SweetHome Bakery,SweetHome Bakery,0.0,0.0,0,1
003_banh-crepe-sua-tuoi_B_crop_3.jpg,date,05/11/2024,05/11/2024,0.0,0.0,0,1
003_banh-crepe-sua-tuoi_B_crop_4.jpg,date,24h 11/11/2024,24h 11/11/2024,0.0,0.0,0,1
003_banh-crepe-sua-tuoi_F_crop_0.jpg,brand,SweetHome Bakery,SweetHome Bakery,0.0,0.0,0,1
003_che-buoi_F_crop_2.jpg,weight,140 g,140 g,0.0,0.0,0,1
003_che-buoi_F_crop_3.jpg,date,06/11/2024,06/11/2024,0.0,0.0,0,1
003_che-buoi_F_crop_4.jpg,date,10/11/2024,10/11/2024,0.0,0.0,0,1
004_cal-cheese_F_crop_0.jpg,brand,MAYORA,MAYORA,0.0,0.0,0,1
004_cal-cheese_F_crop_1.jpg,weight,48g,48g,0.0,0.0,0,1
004_cal-cheese_F_crop_2.jpg,weight,48g,48g,0.0,0.0,0,1
004_cal-cheese_F_crop_3.jpg,name,Thực Phẩm Bổ Sung Bánh Xốp Kem Phô Mai Cal Cheese,Thc2hậm Sữg Bh XgokemhôMcC Che L,0.5102040816326531,1.0,25,0
007_snack-nhan-dau-phong_F_crop_0.jpg,name,SNACK NHÂN ĐẬU PHỘNG,SNẠch NHÂNipÂU PHỘNG,0.25,0.75,5,0
009_sting-vang_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING,,1.0,1.0,19,0
009_sting-vang_B_crop_1.jpg,weight,320 ml,Trà Tihực,1.3333333333333333,1.0,8,0
011_sting_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING HƯƠNG DÂU TÂY ĐỎ,TỰỚ GPG AHHẠT,0.8055555555555556,1.0,29,0
011_sting_B_crop_1.jpg,weight,320 ml,320 ml,0.0,0.0,0,1
012_banh-hoa-cuc_F_crop_0.jpg,brand,Fe'sta,Fe'sta,0.0,0.0,0,1
012_banh-hoa-cuc_F_crop_1.jpg,name,Hoa cúc ngàn lớp,Hoa cúc ngàn lớp,0.0,0.0,0,1
013_snack-vi-suon-nuong_F_crop_0.jpg,brand,Lay's,Lay's,0.0,0.0,0,1
014_mentos-keo-ngam-khong-duong_F_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1
015_mentos-keo-ngam-khong-duong_B_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KẸO NGẬM KHÔNG ĐƯỜNG,0.0,0.0,0,1
015_mentos-keo-ngam-khong-duong_B_crop_2.jpg,weight,35 g,35 g,0.0,0.0,0,1
018_himalaya-salt_F_crop_1.jpg,brand,HIMALAYA Sports,HIMALAYA Sports,0.0,0.0,0,1
019_himalaya-salt_B_crop_3.jpg,date,10/09/2024,CHOICL C,1.0,2.0,8,0
019_himalaya-salt_B_crop_4.jpg,date,09/09/2026,CHOIE2i,0.875,1.0,7,0
022_marshmallows_B_crop_0.jpg,date,02/07/2024,02/07/2024,0.0,0.0,0,1
022_marshmallows_B_crop_1.jpg,date,01/10/2025,01/10/2025,0.0,0.0,0,1
023_lap-xuong_F_crop_0.jpg,name,LẠP XƯỞNG,LẠP XƯỞNG,0.0,0.0,0,1
023_lap-xuong_F_crop_1.jpg,brand,Greenfeed,Greenfed,0.1111111111111111,1.0,1,0
025_rong-bien_F_crop_1.jpg,name,Rong Biển,Rong Biển,0.0,0.0,0,1
025_rong-bien_F_crop_2.jpg,weight,20 g,20 g,0.0,0.0,0,1
026_vinamilk-sua-dinh-duong-socola_F_crop_1.jpg,name,SỮA DINH DƯỠNG ,SỮA DINH DƯỠNG,0.0,0.0,0,1
028_dau-an-happi-koki_F_crop_0.jpg,brand,happi Koki,happi Koki,0.0,0.0,0,1
028_dau-an-happi-koki_F_crop_2.jpg,weight,1 lít,1 lít,0.0,0.0,0,1
