filename,label,ground_truth,predicted_text,cer,wer,lev,acc,time
001_heo-cao-boi_F_crop_0.jpg,brand,HEO CAO BỒI,HEO CAO Bồi,0.0,0.0,0,1,1.339
001_heo-cao-boi_F_crop_1.jpg,name,THỊT VIÊN 3 PHÚT,THỊT VIÊN 3 PHÚT,0.0,0.0,0,1,0.259
001_heo-cao-boi_F_crop_2.jpg,date,150824,150524,0.16666666666666666,1.0,1,0,0.133
001_heo-cao-boi_F_crop_3.jpg,date,150825,15025,0.16666666666666666,1.0,1,0,0.093
001_heo-cao-boi_F_crop_4.jpg,weight,200 g,200 g,0.0,0.0,0,1,0.138
001_heo-cao-boi_F_crop_5.jpg,weight,100 g,100 g,0.0,0.0,0,1,0.141
002_mi-ly-modern_F_crop_0.jpg,brand,ACECOOK,ACECOOK,0.0,0.0,0,1,0.149
002_mi-ly-modern_F_crop_1.jpg,name,MÌ LY MODERN,MÌ LY INSDERN,0.25,0.3333333333333333,3,0,0.255
003_banh-crepe-sua-tuoi_B_crop_0.jpg,brand,SweetHome Bakery,Suasitom Bakoy,0.5,1.0,8,0,0.256
003_banh-crepe-sua-tuoi_B_crop_1.jpg,name,BÁNH CREPE SỮA TƯƠI,BÁNH CRERE SỮA TỰC,0.21052631578947367,0.5,4,0,0.307
003_banh-crepe-sua-tuoi_B_crop_2.jpg,weight,80g,809,0.3333333333333333,1.0,1,0,0.116
003_banh-crepe-sua-tuoi_B_crop_3.jpg,date,05/11/2024,05/11/2024,0.0,0.0,0,1,0.176
003_banh-crepe-sua-tuoi_B_crop_4.jpg,date,24h 11/11/2024,20121112024 24h,0.6666666666666666,1.0,8,0,0.225
003_banh-crepe-sua-tuoi_F_crop_0.jpg,brand,SweetHome Bakery,Suegitime Badoy,0.5,1.0,8,0,0.221
003_banh-crepe-sua-tuoi_F_crop_1.jpg,name,Bánh Crepe Sữa Tươi,Bảnh Cượng Sữa Tươi,0.2631578947368421,0.5,5,0,0.332
003_che-buoi_F_crop_0.jpg,name,Chè Bưởi,Chẻ Bười,0.25,1.0,2,0,0.144
003_che-buoi_F_crop_1.jpg,brand,TNT Foods,TNT Foods,0.0,0.0,0,1,0.163
003_che-buoi_F_crop_2.jpg,weight,140 g,140 g,0.0,0.0,0,1,0.107
003_che-buoi_F_crop_3.jpg,date,06/11/2024,06/11/2024,0.0,0.0,0,1,0.155
003_che-buoi_F_crop_4.jpg,date,10/11/2024,10/11/2024,0.0,0.0,0,1,0.182
004_cal-cheese_F_crop_0.jpg,brand,MAYORA,MAYORA,0.0,0.0,0,1,0.136
004_cal-cheese_F_crop_1.jpg,weight,48g,48a 469,1.6666666666666667,2.0,5,0,0.16
004_cal-cheese_F_crop_2.jpg,weight,48g,48 g,0.3333333333333333,2.0,1,0,0.129
004_cal-cheese_F_crop_3.jpg,name,Thực Phẩm Bổ Sung Bánh Xốp Kem Phô Mai Cal Cheese,Thực Phám Bồ Sung Bánh Xóp Kem Phô Mai Cai Chesse,0.10204081632653061,0.45454545454545453,5,0,0.7
004_cal-cheese_F_crop_4.jpg,date,19 08 2024,TRUỐN & LỐI,0.9,1.0,9,0,0.215
004_cal-cheese_F_crop_5.jpg,date,10 06 2025,the XU B,0.9,1.0,9,0,0.149
005_nabati_F_crop_0.jpg,name,nabati WAFER,nabat WAFER,0.08333333333333333,0.5,1,0,0.224
006_nabati_B_crop_0.jpg,date,07/10/2025,07/10/2025,0.0,0.0,0,1,0.156
006_nabati_B_crop_1.jpg,date,07/10/2024,09/10/2024,0.125,1.0,1,0,0.154
007_snack-nhan-dau-phong_F_crop_0.jpg,name,SNACK NHÂN ĐẬU PHỘNG,SNACK WARPORAN PHỘNG,0.4,0.5,8,0,0.333
007_snack-nhan-dau-phong_F_crop_1.jpg,brand,Oishi,Oishi,0.0,0.0,0,1,0.1
008_sting-vang_F_crop_0.jpg,name,STING NƯỚC TĂNG LỰC,LƯỚC Phường LIT TONG,0.9473684210526315,1.0,18,0,0.362
009_sting-vang_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING,,1.0,1.0,19,0,0.052
009_sting-vang_B_crop_1.jpg,weight,320 ml,THU 20,0.8333333333333334,1.0,5,0,0.151
010_sting_F_crop_0.jpg,name,STING NƯỚC TĂNG LỰC,TƯƠNG TƯƠNH TANH TINH TINH TINH,1.2105263157894737,1.5,23,0,0.499
011_sting_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING HƯƠNG DÂU TÂY ĐỎ,NƯỚC TANG LỰC STING HƯƠNG DÂU TÂY ĐỎ,0.027777777777777776,0.125,1,0,0.524
011_sting_B_crop_1.jpg,weight,320 ml,320 ml,0.0,0.0,0,1,0.157
012_banh-hoa-cuc_F_crop_0.jpg,brand,Fe'sta,Festo,0.2,1.0,1,0,0.111
012_banh-hoa-cuc_F_crop_1.jpg,name,Hoa cúc ngàn lớp,chúc Hoá Mgàn LỚp,0.4375,0.75,7,0,0.273
013_snack-vi-suon-nuong_F_crop_0.jpg,brand,Lay's,LUYE,0.5,1.0,2,0,0.107
013_snack-vi-suon-nuong_F_crop_1.jpg,name,Vị Sườn Nướng BBQ Brazil,Vị Sườn Nướng BBQ Brayl,0.08333333333333333,0.2,2,0,0.344
014_mentos-keo-ngam-khong-duong_F_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KEO NGẬM KHÔNG ĐƯỜNG,0.05,0.25,1,0,0.31
014_mentos-keo-ngam-khong-duong_F_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1,0.122
015_mentos-keo-ngam-khong-duong_B_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KEO NGẬM KHÔNG ĐƯỜNG,0.05,0.25,1,0,0.294
015_mentos-keo-ngam-khong-duong_B_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1,0.115
015_mentos-keo-ngam-khong-duong_B_crop_2.jpg,weight,35 g,35 g,0.0,0.0,0,1,0.094
018_himalaya-salt_F_crop_0.jpg,name,HIMALAYA SALT,HIMALEYAY SALT,0.15384615384615385,0.5,2,0,0.239
018_himalaya-salt_F_crop_1.jpg,brand,HIMALAYA Sports,HIMALAYAY Spors,0.13333333333333333,1.0,2,0,0.223
019_himalaya-salt_B_crop_0.jpg,name,HIMALAYA SALT,HIMALAYA SALT,0.0,0.0,0,1,0.197
019_himalaya-salt_B_crop_1.jpg,name,KẸO MUỐI HIMALAYA BẠC HÀ VỊ CHANH,KẸO MUỐI HIMALAYAY BẠC HÀ VỊ CHANH,0.030303030303030304,0.14285714285714285,1,0,0.475
019_himalaya-salt_B_crop_2.jpg,weight,15g,15 g,0.3333333333333333,2.0,1,0,0.101
019_himalaya-salt_B_crop_3.jpg,date,10/09/2024,2004,0.625,1.0,5,0,0.12
019_himalaya-salt_B_crop_4.jpg,date,09/09/2026,TRUNG 20,0.875,2.0,7,0,0.177
019_himalaya-salt_B_crop_5.jpg,weight,15g,15g,0.0,0.0,0,1,0.077
020_marshmallows_F_crop_0.jpg,name,Teddy MARSHMALLOWS,Tedsy TINHERUMER,0.6666666666666666,1.0,12,0,0.336
021_marshmallows_F_crop_0.jpg,name,Teddy Marshallows,Tebilan VIERMEMEM,0.8823529411764706,1.0,15,0,0.318
021_marshmallows_F_crop_1.jpg,weight,70g,10,0.6666666666666666,1.0,2,0,0.066
022_marshmallows_B_crop_0.jpg,date,02/07/2024,02/07/2024,0.0,0.0,0,1,0.154
022_marshmallows_B_crop_1.jpg,date,01/10/2025,01/10/2025,0.0,0.0,0,1,0.156
022_marshmallows_B_crop_2.jpg,name,Kẹo dẻo tổng hợp Marshmallows hình Teddy,Keo đẻo tổng họp Messmimels hình Teddy,0.275,0.5714285714285714,11,0,0.542
023_lap-xuong_F_crop_0.jpg,name,LẠP XƯỞNG,LẠP XƯỞNG,0.0,0.0,0,1,0.157
023_lap-xuong_F_crop_1.jpg,brand,Greenfeed,Chigleed,0.6666666666666666,1.0,6,0,0.131
024_lap-xuong_B_crop_0.jpg,date,25/11/2024,25/11/2024,0.0,0.0,0,1,0.155
024_lap-xuong_B_crop_1.jpg,date,25/06/2025,25/05/2025,0.125,1.0,1,0,0.152
025_rong-bien_F_crop_0.jpg,brand,Green World,Green Worid,0.09090909090909091,0.5,1,0,0.175
025_rong-bien_F_crop_1.jpg,name,Rong Biển,Bản Rong,0.7777777777777778,1.0,7,0,0.15
025_rong-bien_F_crop_2.jpg,weight,20 g,20 g,0.0,0.0,0,1,0.1
